id,name,host_id,price,neighborhood,accommodates,room_type,borough,minimum_nights,maximum_nights,availability_90,beds,review_scores_rating,number_of_reviews,number_of_reviews_ltm,listing_url
19282,"Sunny, Spacious Top Floor Haven",73469,110,Flatbush,4,Private room,Brooklyn,30,60,89,2,4.69,17,0,https://www.airbnb.com/rooms/19282
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,105,Williamsburg,2,Entire home/apt,Brooklyn,30,90,15,1,4.49,61,0,https://www.airbnb.com/rooms/19812
20724,Sunny room+Pvte office in huge loft,961342,50,Bushwick,2,Private room,Brooklyn,5,100,24,0,4.34,31,1,https://www.airbnb.com/rooms/20724
21456,Light-filled classic Central Park,42032,88,Upper West Side,2,Entire home/apt,Manhattan,30,365,21,0,4.68,83,1,https://www.airbnb.com/rooms/21456
21644,"Upper Manhattan, New York",82685,99,Harlem,1,Private room,Manhattan,30,60,90,0,5,3,0,https://www.airbnb.com/rooms/21644
21794,COZY QUIET monthly room 4 DOOGLERS!,83257,85,Chelsea,2,Private room,Manhattan,30,1125,89,1,4.97,36,0,https://www.airbnb.com/rooms/21794
23686,2000 SF 3br 2ba West Village outdoor living house,93790,500,West Village,4,Entire home/apt,Manhattan,7,29,50,3,4.42,51,2,https://www.airbnb.com/rooms/23686
24285,Beautiful Duplex Apartment,97797,220,Park Slope,5,Entire home/apt,Brooklyn,30,180,13,6,4.82,89,1,https://www.airbnb.com/rooms/24285
25696,"1,800 sq foot in luxury building",107628,100,Harlem,2,Private room,Manhattan,1,1125,32,1,4.75,190,0,https://www.airbnb.com/rooms/25696
26362,"Times Square, Safe, Clean and Cozy!",59734,75,Hell's Kitchen,1,Private room,Manhattan,2,25,32,1,4.54,395,21,https://www.airbnb.com/rooms/26362
26969,2 story family home in Williamsburg,115307,165,Williamsburg,6,Entire home/apt,Brooklyn,30,90,32,4,4.81,343,1,https://www.airbnb.com/rooms/26969
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,115560,225,Upper West Side,4,Entire home/apt,Manhattan,30,30,83,3,4.6,28,0,https://www.airbnb.com/rooms/27006
27644,Sugar Hill Rest Stop,119510,170,Harlem,6,Entire home/apt,Manhattan,2,20,13,1,4.76,211,3,https://www.airbnb.com/rooms/27644
28321,2BR in a 3BR Bklyn apt. nxt  2 Q Trn. Mth-Mth only,65091,75,Prospect-Lefferts Gardens,2,Private room,Brooklyn,2,1095,0,0,4.14,9,0,https://www.airbnb.com/rooms/28321
28907,Garden studio in the Upper East Sid,124352,150,Upper East Side,4,Entire home/apt,Manhattan,30,30,3,2,4.95,21,0,https://www.airbnb.com/rooms/28907
29628,"Comfortable, Sunny Room",127608,89,Clinton Hill,2,Private room,Brooklyn,3,90,24,1,4.92,285,4,https://www.airbnb.com/rooms/29628
29683,Stylish Apartment with office space Near SoHo!,125857,175,Lower East Side,3,Entire home/apt,Manhattan,30,1125,23,1,4.77,115,10,https://www.airbnb.com/rooms/29683
31130,Most Central Location!,117287,130,Hell's Kitchen,2,Private room,Manhattan,1,120,78,1,4.86,66,0,https://www.airbnb.com/rooms/31130
31902,Sanctuary in East Flatbush,137292,80,East Flatbush,2,Private room,Brooklyn,30,90,89,1,4.33,4,0,https://www.airbnb.com/rooms/31902
31994,Room with En Suite Bathroom & Deck,137814,86,Clinton Hill,2,Private room,Brooklyn,2,365,62,1,4.48,479,19,https://www.airbnb.com/rooms/31994
32329,Fully Furnished Beautiful 1 Bedroom,139853,160,East Village,1,Entire home/apt,Manhattan,14,30,86,1,5,3,0,https://www.airbnb.com/rooms/32329
33009,Retreat in Williamsburg,143027,215,Williamsburg,2,Entire home/apt,Brooklyn,4,60,34,1,4.95,265,13,https://www.airbnb.com/rooms/33009
33014,NYC Zen,143048,125,East Village,3,Entire home/apt,Manhattan,1,1125,13,2,4.41,34,0,https://www.airbnb.com/rooms/33014
33156,"Sunny, Clean Zen Home w pr.Bath",128669,139,Upper West Side,2,Entire home/apt,Manhattan,120,180,26,1,5,20,1,https://www.airbnb.com/rooms/33156
36647,Private Bdrm/Bathrm. New! Elevator!,157798,59,East Harlem,2,Private room,Manhattan,30,999,32,1,4.75,34,0,https://www.airbnb.com/rooms/36647
36703,"Sunny, clean 1 bdrm in W. Village",158284,200,West Village,2,Entire home/apt,Manhattan,30,1125,1,2,4.91,136,0,https://www.airbnb.com/rooms/36703
39282,“Work-from-home” from OUR home.,168525,79,Williamsburg,2,Private room,Brooklyn,7,45,1,1,4.8,231,12,https://www.airbnb.com/rooms/39282
39572,1 br in a 2 br apt (Midtown West),169927,139,Hell's Kitchen,2,Private room,Manhattan,30,1125,90,1,4.86,44,0,https://www.airbnb.com/rooms/39572
39586,Big room w/private bathroom and great Hudson view,12220,146,Upper West Side,2,Private room,Manhattan,1,365,70,1,4.54,182,1,https://www.airbnb.com/rooms/39586
39593,A room of own with a Manhattan view,110506,79,Sunnyside,1,Private room,Queens,90,365,64,2,4.91,29,0,https://www.airbnb.com/rooms/39593
42300,Beautiful Lower East Side Loft,184755,500,Lower East Side,4,Entire home/apt,Manhattan,5,30,20,3,4.74,61,4,https://www.airbnb.com/rooms/42300
44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,110,Fort Greene,2,Private room,Brooklyn,30,30,90,1,4.69,231,0,https://www.airbnb.com/rooms/44229
44288,Private studio in West Village on quite street,193637,131,West Village,2,Entire home/apt,Manhattan,30,365,27,1,4.75,88,1,https://www.airbnb.com/rooms/44288
44973,Creative South Williamsburg Studio,198411,98,Williamsburg,2,Entire home/apt,Brooklyn,30,180,1,0,4.63,122,1,https://www.airbnb.com/rooms/44973
45556,"Fort Greene, Brooklyn: Center Bedroom",67778,65,Fort Greene,2,Private room,Brooklyn,2,31,57,1,4.89,270,19,https://www.airbnb.com/rooms/45556
45910,Beautiful Queens Brownstone! - 5BR,204539,395,Ridgewood,16,Entire home/apt,Queens,30,730,90,10,4.42,13,0,https://www.airbnb.com/rooms/45910
46544,Park Slope haven 15 mins from Soho,8198,150,Park Slope,2,Entire home/apt,Brooklyn,30,200,1,0,4.7,58,0,https://www.airbnb.com/rooms/46544
47613,"BIG, COMFY ROOM W/YARD IN WILL-B",216191,81,Williamsburg,1,Private room,Brooklyn,30,90,59,1,4.76,28,0,https://www.airbnb.com/rooms/47613
49048,B and B Style Rooms for Rent w bath,35935,90,Bedford-Stuyvesant,3,Private room,Brooklyn,30,365,0,2,4.3,21,1,https://www.airbnb.com/rooms/49048
51850,( F) Excellent/Pvt Rm,27848,65,Jamaica,2,Private room,Queens,30,365,86,1,4.42,53,0,https://www.airbnb.com/rooms/51850
52689,Astoria/Ditmars 2BR - Kids Welcome!,244071,130,Ditmars Steinway,4,Entire home/apt,Queens,4,365,16,2,4.83,6,2,https://www.airbnb.com/rooms/52689
53470,Clean and convenient 2BR apartment,204539,174,Ridgewood,7,Private room,Queens,30,730,81,3,4,6,0,https://www.airbnb.com/rooms/53470
54508,Sml Rm  Brst  PSl great for longer stays Med/Stu,210746,60,Park Slope,2,Private room,Brooklyn,2,3,36,1,4.68,105,14,https://www.airbnb.com/rooms/54508
54860,Great apartment with private bathroom and entrance,258164,100,East Harlem,2,Private room,Manhattan,5,21,19,1,4.84,236,8,https://www.airbnb.com/rooms/54860
56859,City Room - Private & Comfy Bedroom,256161,86,Harlem,2,Private room,Manhattan,3,30,75,1,4.64,208,0,https://www.airbnb.com/rooms/56859
57166,Elegant NYC Pad,272006,175,Ditmars Steinway,2,Entire home/apt,Queens,3,29,65,2,4.75,59,21,https://www.airbnb.com/rooms/57166
57618,"Great new apt, close to everything",274557,250,Hell's Kitchen,4,Entire home/apt,Manhattan,3,365,4,2,4.81,114,7,https://www.airbnb.com/rooms/57618
57874,The Brownstone-Luxury 1 Bd Apt/NYC,276291,160,East Harlem,2,Entire home/apt,Manhattan,3,365,24,1,4.85,279,22,https://www.airbnb.com/rooms/57874
57901,Huge Room - Luxury Doorman Building,276207,45,Upper West Side,1,Private room,Manhattan,60,422,3,1,4.75,9,0,https://www.airbnb.com/rooms/57901
58059,Private Room on Historic Sugar Hill,277379,55,Harlem,2,Private room,Manhattan,2,27,14,1,4.7,557,45,https://www.airbnb.com/rooms/58059
59014,"Spacious 1BR, Adorable Clean Quiet",282927,150,Lower East Side,2,Entire home/apt,Manhattan,30,90,90,1,4.65,57,0,https://www.airbnb.com/rooms/59014
59121,"Nice, clean, safe, convenient 3BR",204539,188,Ridgewood,9,Entire home/apt,Queens,30,730,65,1,5,2,0,https://www.airbnb.com/rooms/59121
59855,One bedroom Apt. in NYC,288031,250,Midtown,4,Entire home/apt,Manhattan,30,365,0,1,4.62,82,0,https://www.airbnb.com/rooms/59855
60611,SpaHa Studio Monthly Rental,292204,68,East Harlem,2,Entire home/apt,Manhattan,30,30,2,1,4.84,191,4,https://www.airbnb.com/rooms/60611
60666,City Room - Private Luxury Suite,256161,140,Harlem,2,Private room,Manhattan,3,30,61,2,4.71,216,1,https://www.airbnb.com/rooms/60666
60673,Private Room/bath Luxurious Harlem,249372,125,Harlem,2,Private room,Manhattan,30,365,90,1,5,3,0,https://www.airbnb.com/rooms/60673
60680,"Bright, High Ceiling, Spacious & Cozy 1BR - Enjoy!",292630,125,East Village,6,Entire home/apt,Manhattan,30,1125,32,2,4.53,163,8,https://www.airbnb.com/rooms/60680
62427,Great East Village Apartment Rental,303882,130,East Village,2,Entire home/apt,Manhattan,30,69,80,1,4.82,61,0,https://www.airbnb.com/rooms/62427
62468,"Great Apt, Great Location",304081,170,Upper West Side,2,Entire home/apt,Manhattan,30,60,90,1,4.81,30,0,https://www.airbnb.com/rooms/62468
62891,Smallest House In The Village,306545,127,East Village,3,Entire home/apt,Manhattan,4,365,0,2,4.29,201,4,https://www.airbnb.com/rooms/62891
62903,Beautiful modern studio apartment in heart of NYC,306605,205,Chelsea,2,Entire home/apt,Manhattan,30,62,22,1,4.9,68,0,https://www.airbnb.com/rooms/62903
